lat,lon,x,y,faa,height
-66.6845147,-60.2993436,-2230126.08,1272075.32,19.93,498.92
-66.7528049,-60.3166541,-2223801.25,1267577.29,24.79,498.49
-66.8209498,-60.3341028,-2217492.8,1263086.88,25.64,498.61
-66.8889442,-60.3515567,-2211198.3,1258609.54,24.96,498.53
-66.9567188,-60.3691068,-2204926.53,1254145.62,25.0,497.84
-67.0242777,-60.3866999,-2198675.91,1249696.93,25.01,497.14
-67.0917516,-60.4043042,-2192432.88,1245257.38,26.11,496.17
-67.1591687,-60.4221035,-2186198.66,1240818.37,25.87,496.45
-67.2265213,-60.4398423,-2179968.43,1236390.11,25.09,496.21
-67.2938314,-60.4577184,-2173744.3,1231963.84,26.27,495.67
-67.3610782,-60.4757444,-2167528.56,1227540.27,24.69,495.1
-67.4282728,-60.4937662,-2161316.78,1223124.64,23.86,494.02
-67.4954577,-60.5119318,-2155107.93,1218709.01,24.15,492.76
-67.5626326,-60.5302308,-2148901.79,1214293.83,19.75,491.58
-67.6299515,-60.5485993,-2142681.86,1209872.99,17.71,491.68
-67.6975356,-60.5672095,-2136439.85,1205433.4,13.71,491.83
-67.7653752,-60.5859945,-2130175.25,1200978.19,9.03,490.89
-67.833503,-60.6050154,-2123886.1,1196503.38,6.13,490.29
-67.9019056,-60.6240271,-2117568.54,1192018.88,2.32,488.42
-67.9704432,-60.6433576,-2111243.11,1187520.35,-3.79,487.06
-68.0389742,-60.662844,-2104920.26,1183021.71,-8.95,485.52
-68.1074801,-60.6822979,-2098597.89,1178530.93,-16.38,484.38
-68.1759438,-60.7020297,-2092284.05,1174037.59,-20.96,481.69
-68.2445217,-60.7220023,-2085962.56,1169534.53,-19.84,480.0
-68.3132738,-60.7420539,-2079624.2,1165024.41,-21.77,478.62
-68.3822111,-60.762344,-2073271.08,1160500.9,-19.63,477.75
-68.4513321,-60.7826395,-2066898.6,1155972.6,-12.39,476.31
-68.5206591,-60.8032464,-2060510.71,1151427.3,-6.54,477.07
-68.5901845,-60.8238397,-2054101.59,1146877.21,1.1,482.56
-68.6586126,-60.844382,-2047797.63,1142394.6,11.6,558.05
-68.7260479,-60.8646087,-2041583.31,1137983.01,22.99,619.31
-68.7930383,-60.8849723,-2035413.91,1133596.19,13.48,630.03
-68.8616643,-60.9060236,-2029096.1,1129101.01,6.87,549.02
-68.9322602,-60.9276862,-2022595.43,1124482.39,5.37,523.52
-69.0023452,-60.9494103,-2016144.42,1119895.38,7.91,525.48
-69.0716147,-60.9708335,-2009765.88,1115369.22,3.36,525.4
-69.1402865,-60.9924365,-2003447.83,1110875.02,8.64,524.85
-69.208342,-61.0139428,-1997186.7,1106423.41,16.37,524.27
-69.2853216,-60.3722,-1977164.55,1124455.05,-11.24,521.29
-69.2427435,-60.2179199,-1978273.85,1132146.6,-12.71,518.92
-69.197082,-60.0665504,-1979714.2,1139924.6,-11.99,520.93
-69.1494703,-59.9158994,-1981331.55,1147803.28,-10.59,522.24
-68.30163,-59.7553354,-2060384.82,1201323.81,5.17,527.42
-68.2898529,-59.9333045,-2065252.88,1195581.89,5.3,526.53
-68.2801772,-60.1155876,-2069989.81,1189547.69,1.08,529.14
-68.2699891,-60.300229,-2074808.04,1183438.62,-2.98,531.48
-68.2594595,-60.4860189,-2079665.46,1177288.11,-13.31,509.86
-68.2486757,-60.6741681,-2084577.98,1171046.72,-19.31,499.15
-68.2377258,-60.8604612,-2089450.55,1164862.57,-26.13,500.08
-68.2266569,-61.0449893,-2094280.99,1158730.12,-27.26,501.56
-68.2154925,-61.227956,-2099071.64,1152641.03,-25.89,500.78
-68.2042526,-61.4094431,-2103822.64,1146591.57,-16.5,501.65
-68.1928415,-61.5894775,-2108544.43,1140586.22,-9.75,502.72
